Bạn là chuyên gia ẩm thực Việt Nam.

Dưới đây là các cặp nguyên liệu. Mỗi cặp gồm:
- raw_name      : tên nguyên liệu thô (có thể viết tắt, lỗi chính tả nhỏ)
- mapped_to     : tên nguyên liệu chuẩn đang được gán

Câu hỏi: "raw_name" này và "mapped_to" có phải là 2 nguyên liệu THỰC SỰ KHÁC NHAU không?
Ví dụ: "hành lá" và "hành tím" → KHÁC NHAU thật sự
        "hành lá" và "hành lá tươi" → GIỐNG NHAU (chỉ là cách gọi khác)
        "hành" và "hành tím" → CÓ THỂ GIỐNG (hành thường = hành tím ở VN)

────────────────────────────────────────────────────────
pattern_id= 301 | raw="Nước đá" | mapped_to="nước" | dish="Rau muống ngâm chua"
pattern_id= 327 | raw="Tỏi ớt" | mapped_to="tỏi" | dish="Cơm thịt khìa (kiểu cơm tấm Long Xuyên)"
pattern_id= 328 | raw="nươc côt dưa" | mapped_to="sữa dừa" | dish="Bánh xèo tôm thịt,nấm bào ngư ăn kèm rau cải xanh và rau sống"
pattern_id= 329 | raw="chuối xanh" | mapped_to="chuối" | dish="Thịt nhồi chuối xanh"
pattern_id= 330 | raw="đậu chiên" | mapped_to="đậu hũ" | dish="Rau củ xào chay"
pattern_id= 331 | raw="củ hành khô" | mapped_to="hành tím" | dish="Thịt băm xào ngô ngọt"
pattern_id= 332 | raw="bắp cải tím" | mapped_to="bắp cải" | dish="Bắp cải tím xào thịt heo"
pattern_id= 333 | raw="mực nang" | mapped_to="mực" | dish="Mực nang xào cần tây"
pattern_id= 334 | raw="khóm tỏi" | mapped_to="tỏi" | dish="Hải sản Phú Quý hấp: mực ống, cua gạo, cua mặt trăng và nhum tươi"
pattern_id= 335 | raw="lá kim" | mapped_to="lá" | dish="Rau giá trộn lá kim"
pattern_id= 336 | raw="mè" | mapped_to="rau mè" | dish="Salad thanh cua dưa leo lạnh"
pattern_id= 337 | raw="dầu Olive" | mapped_to="ô liu" | dish="Trứng Chiên Dưa Leo Tôm Áp Chảo"
pattern_id= 338 | raw="bột ớt Hàn Quốc" | mapped_to="ớt" | dish="Thịt ba rọi 1 nắng áp chảo"
pattern_id= 339 | raw="cá hồng" | mapped_to="cá diêu hồng" | dish="Cá Hồng một nắng sốt chua ngọt"
pattern_id= 340 | raw="phomai" | mapped_to="Bột phô mai" | dish="Thịt bò viên nướng phomai bằng nckd"
pattern_id= 341 | raw="phô mai con bò cười" | mapped_to="thịt bò" | dish="Soup nấm, bí đỏ, phô mai"
pattern_id= 342 | raw="cá cam" | mapped_to="cam" | dish="Cá cam kho tộ"
pattern_id= 343 | raw="hành tây tím" | mapped_to="hành tím" | dish="Mực Xào Thập Cẩm"
pattern_id= 344 | raw="mỡ heo" | mapped_to="thịt heo" | dish="Mực nang xào tóp mỡ"
pattern_id= 345 | raw="rau củ hỗn hợp" | mapped_to="rau sống" | dish="Nem bơ hải sản"
pattern_id= 346 | raw="tôm lột" | mapped_to="tôm thẻ loại to" | dish="Cơm bento: Gấu koala hồng đáng yêu (Đậu hũ xào tôm nấm)"
pattern_id= 347 | raw="Mắm ruốc Huế" | mapped_to="nước mắm" | dish="Bún bò gân chả bì đơn giản"
pattern_id= 348 | raw="Nghệ tươi hoặc bột nghệ" | mapped_to="Bột (chung)" | dish="Cá trê biển nấu hoa chuối"
pattern_id= 349 | raw="tôm lột vỏ" | mapped_to="tôm thẻ loại to" | dish="Tôm thịt rim cà chua"
pattern_id= 350 | raw="thanh cua" | mapped_to="cua" | dish="Súp tóc tiên óc heo,thanh cua và tôm"
pattern_id= 351 | raw="bột rau câu dẻo" | mapped_to="Bột (chung)" | dish="Rau câu cá chép"
pattern_id= 352 | raw="Cần tàu" | mapped_to="cần tây" | dish="Mực Xào Nấm Rau Củ"
pattern_id= 353 | raw="bánh đa" | mapped_to="bánh tráng" | dish="Mì Quảng tôm trứng"
pattern_id= 354 | raw="dọc mùng bạc hà" | mapped_to="bạc hà" | dish="Bún cá lóc"
pattern_id= 355 | raw="rau câu" | mapped_to="bột rau câu" | dish="Sữa chua granola và rau câu cam"
pattern_id= 356 | raw="Xương ống" | mapped_to="xương gà" | dish="Lẩu riêu cua lông/ cà ra"
pattern_id= 357 | raw="trứng" | mapped_to="Trứng gà" | dish="Vetula: Nui lứt xào trứng ăn với chả mực và rau củ luộc"
pattern_id= 358 | raw="mì soba" | mapped_to="mì" | dish="Mì soba nấu bò nấm"
pattern_id= 359 | raw="củ cải trắng" | mapped_to="củ cải" | dish="Xương heo hầm khoai tây, dền, cà rốt, củ cải trắng"
pattern_id= 360 | raw="khoai lang tím" | mapped_to="khoai lang" | dish="Súp thịt gà khoai lang tím đậu hũ non"
pattern_id= 361 | raw="lá cà ri" | mapped_to="lá" | dish="Bún hải sản chua ngọt thanh nhẹ"
pattern_id= 362 | raw="xương đuôi heo" | mapped_to="thịt heo" | dish="Canh Củ Sen Hầm Đuôi Heo"
pattern_id= 363 | raw="cá giò" | mapped_to="Cá bớp" | dish="Canh Cá Giò Nấu Lá Me Non"
pattern_id= 364 | raw="bao tử heo" | mapped_to="thịt heo" | dish="Gỏi Bao Tử Heo"
pattern_id= 365 | raw="dầu" | mapped_to="dầu ô liu" | dish="Cá liệt kho"
pattern_id= 366 | raw="mắm tép" | mapped_to="tép" | dish="Thịt chưng mắm tép"
pattern_id= 367 | raw="măng chua" | mapped_to="măng" | dish="Canh cá thác lác nấu măng chua"
pattern_id= 368 | raw="qua tim heo" | mapped_to="thịt heo" | dish="Cháo tim heo hạt sen"
pattern_id= 369 | raw="gao" | mapped_to="nghêu" | dish="Cháo tim heo hạt sen"
pattern_id= 370 | raw="nước tương tamari" | mapped_to="nước" | dish="Bông Tỏi Ba Góc Xào Bò Bằm"
pattern_id= 371 | raw="Hành hoa hành khô" | mapped_to="nước" | dish="Đậu non sốt nấm hành (món chay)"
pattern_id= 372 | raw="Nước tương Nhật" | mapped_to="nước" | dish="Sushi Gan Cá Monkfish"
pattern_id= 373 | raw="Mắm cá cơm" | mapped_to="cơm" | dish="CÁ TAI TƯỢNG chiên xù"
pattern_id= 374 | raw="hành tỏi băm nhỏ" | mapped_to="tỏi" | dish="Ba Rọi Kho Quẹt Rau Luộc"
pattern_id= 375 | raw="Dầu" | mapped_to="dầu ô liu" | dish="Cá hộp ba cô gái"
pattern_id= 376 | raw="rau húng" | mapped_to="rau húng chó" | dish="Hoa chuối trộn tôm thịt"
pattern_id= 377 | raw="Bột mì" | mapped_to="Bột (chung)" | dish="Bún cá lóc nấu dễ - nhanh - ngon"
pattern_id= 378 | raw="cá cơm than" | mapped_to="cơm" | dish="Cá cơm than nhúng dấm"
pattern_id= 379 | raw="bột nếp" | mapped_to="Bột (chung)" | dish="Bánh nếp nhân thịt"
pattern_id= 380 | raw="Bánh canh" | mapped_to="bánh" | dish="Bánh canh chả cá, thịt bằm"
pattern_id= 381 | raw="ồ ăn kèm" | mapped_to="rau sống" | dish="Cá diêu hồng chiên giòn chấm mắm nêm cá cơm"
pattern_id= 382 | raw="Ngò thơm" | mapped_to="Hành ngò" | dish="Canh Cà Chua Trứng Nấm Chả Cua🍥🍅"
pattern_id= 383 | raw="bánh hỏi" | mapped_to="bánh" | dish="Bánh hỏi thịt nướng"
pattern_id= 384 | raw="hẹ lá" | mapped_to="lá" | dish="Bánh hỏi thịt nướng"
pattern_id= 385 | raw="Bí đao" | mapped_to="bí xanh" | dish="Cháo ếch bí đao"
pattern_id= 386 | raw="Cá ngừ" | mapped_to="hộp cá ngừ" | dish="Cá ngừ đại dương áp chảo"
pattern_id= 387 | raw="Nước cốt dừa" | mapped_to="nước dừa" | dish="Thạch rau câu sợi lá dứa – cốt dừa – café"
pattern_id= 388 | raw="Hạt sen" | mapped_to="sen" | dish="Cháo ếch hạt sen"
pattern_id= 389 | raw="Cá" | mapped_to="cá hú" | dish="Cá sốt"
pattern_id= 390 | raw="Dâu ăn" | mapped_to="dầu ăn" | dish="Mực ống xào mướp và nấm bào ngư"
pattern_id= 391 | raw="tắc" | mapped_to="nước tắc" | dish="Tai heo ngâm cóc non"
pattern_id= 392 | raw="bột ớt" | mapped_to="ớt" | dish="Thịt chiên bột"
pattern_id= 393 | raw="Rau húng quế" | mapped_to="quế" | dish="Cuốn Bún Đậu Hủ Chấm Mắm Tôm"
pattern_id= 394 | raw="chuối" | mapped_to="hoa chuối" | dish="Cá kho riềng"
pattern_id= 395 | raw="dầu mè thơm" | mapped_to="Mè (Vừng)" | dish="Bánh Xếp Mandu Nhân Thịt & Kim Chi Cay Chiên Nước"
pattern_id= 396 | raw="whipping" | mapped_to="đậu nành" | dish="Rau câu nén vàng"
pattern_id= 397 | raw="Nước tương cho bé" | mapped_to="nước" | dish="Chả cá kiểu Nhật - Gà sốt cà rốt"
pattern_id= 398 | raw="Nước chấm chua ngọt" | mapped_to="nước" | dish="Cá Nướng Cuốn Bánh Tráng"
pattern_id= 399 | raw="lá hẹ" | mapped_to="lá" | dish="Gỏi cuốn tôm thịt"
pattern_id= 400 | raw="Bột hành" | mapped_to="Bột (chung)" | dish="Bún cá cay"
────────────────────────────────────────────────────────

Trả về DUY NHẤT JSON array, không markdown, không giải thích.
Mỗi phần tử:
{
  "pattern_id"  : <số nguyên, giữ nguyên>,
  "verdict"     : "DIFFERENT" | "SAME" | "UNCERTAIN",
  "reason"      : "<lý do ngắn tối đa 10 từ tiếng Việt>"
}

- DIFFERENT : 2 nguyên liệu thực sự khác nhau → mapping SAI thật
- SAME      : thực ra là cùng một nguyên liệu (dù tên hơi khác) → mapping ĐÚNG, đánh nhầm
- UNCERTAIN : quá mơ hồ, không đủ context để kết luận
