pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
1,nước tương,nước,water,203,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ,DIFFERENT,Nước tương và nước lọc là hai loại lỏng khác nhau,"20933,20946,20979,21145,21436,21481,21523,21563,21594,21633,21660,21889,22557,22830,22946,22969,23058,23109,23340,23767,23946,23974,24441,24457,25075,25378,26849,27123,27344,27819,27934,28296,28342,28535,28639,28721,29072,29165,29254,29492,29798,29823,29864,30098,30153,30167,30256,30345,30486,30504,31057,31077,31125,31155,31204,31307,31394,31455,31474,31548,31595,31645,31660,31716,31751,32091,32244,32322,32779,32850,32884,33065,33073,33154,33195,33255,33273,33431,33493,33689,33734,33930,33967,34029,34808,35270,35387,35480,35501,35512,35595,35695,35871,36815,36938,37019,37318,37381,37389,37512,37602,37634,37650,37813,38014,38086,38094,38315,38461,38618,38867,39037,39210,39238,39365,39385,39528,39551,40264,40634,40798,40804,41348,41388,42077,42149,42186,42263,42314,42436,42526,42665,42807,44709,46158,46466,46490,46549,46979,47339,47430,47501,47574,47821,47909,47917,48032,50083,51067,51112,51196,51242,51511,52871,52901,53196,53232,53550,53567,53625,53726,53815,53831,53843,54126,54302,54576,58495,60229,60892,60907,60913,60932,60998,61008,61077,61621,61652,61768,62028,62177,62185,62275,62319,62418,62441,62590,62876,62900,62925,63040,63274,63379,63486,63517,63664,63721,63765,63843,63915,63951,64100,64130"
16,thịt bò,thịt bê,veal,30,Thịt Bò Xào Cà Chua Dưa Leo | Trứng Chiên Thịt Bò,DIFFERENT,Thịt bò và thịt bê là hai độ tuổi khác nhau,"6299,7133,10129,11168,11171,11591,11778,12008,12323,12332,12361,12554,12562,12692,13041,13192,13335,14351,15069,17163,17373,17376,17797,18111,18378,18728,18775,19220,20313,20411"
18,Hành phi,hành tím,shallot,27,Gỏi Ức Gà Rau Tiến Vua | Súp Sò Điệp Bong Bóng Cá,DIFFERENT,"Hành phi là thành phẩm, hành tím là nguyên liệu tươi","6201,9043,10156,11885,12179,17268,20247,20344,51894,52645,54621,57142,57143,57148,57698,57881,57975,58069,58138,58362,59485,59486,59645,59711,60424,60428,60573"
20,nước cốt dừa,nước dừa,coconut water,27,CÀ RY rau củ quả | Cà ri TÔM với chuối sáp,DIFFERENT,Nước cốt dừa đậm đặc hơn nước dừa,"21537,23980,26916,29803,30245,30410,30965,32294,33659,37327,37374,37772,39421,39568,39579,40063,40425,40467,41145,41153,41318,43576,44053,44781,45563,47948,49881"
22,Dầu mè,Mè (Vừng),sesame seeds,27,Cà tím cuộn đậu hũ hấp (món chay) | Củ Sen Kẹp Tôm Chiên Giòn,DIFFERENT,"Dầu mè là chất béo, vừng là hạt","23274,25187,25462,25613,26221,31367,31591,32251,32493,34323,34859,34901,34934,35810,36047,36956,37233,37582,37928,41297,41801,42634,42909,43148,51043,51446,51453"
23,hành phi,hành tím,shallot,26,Gỏi bắp cải rau má | Canh khoai mỡ nấu tép khô thịt xay,DIFFERENT,Hành phi và hành tím tươi trạng thái khác nhau,"7344,7714,9304,11101,11889,12281,13141,13671,14217,14979,15413,16455,16714,16717,17861,20617,53506,56960,57495,58443,58832,60431,60508,60509,60839,60841"
24,me,lá me,tamarind leaves,26,Canh chua chả cá chiên | Canh chua cá bông lau,DIFFERENT,Me (quả/sốt) khác với lá me,"21357,22312,23159,23406,23902,24318,25802,26235,26960,29075,29483,30044,32906,33556,34154,37357,38490,39598,46174,47461,50802,53967,60649,60982,61861,63786"
25,măng tây,măng,bamboo shoots,25,Nui Tóc Tiên Nấu Chả Tôm Quết & Măng Tây | Steak bò sốt phomai,DIFFERENT,Măng tây và măng tre là hai loài khác nhau,"21256,22018,23084,23284,23326,23556,23569,23937,24471,26828,29630,31468,34736,35322,35824,36513,36980,39810,42079,42879,43175,45228,46659,53898,62893"
26,rau cần,cần tây,celery,24,"Bánh đa Quỳnh Côi xào giò, rau cần nước | Canh Cải Thảo Nấu Thịt Bằm",DIFFERENT,Rau cần (nước) khác với cần tây,"9268,11331,12201,12590,13213,17038,19685,25174,26195,27999,29265,30013,30192,30769,33261,37312,37324,38715,39309,39518,41894,42743,42771,43535"
28,Tương ớt,ớt,chili pepper,22,Gỏi chả+heo quay | BÒ KHO ĐƠN GIẢN - AI Cũng LÀM ĐƯỢC,DIFFERENT,"Tương ớt là hỗn hợp, không phải quả ớt","23645,25219,26971,28016,28173,29582,32161,32603,33150,34928,35210,35938,37665,37722,41961,45121,47258,47295,47436,47598,47702,47945"
32,dầu olive,ô liu,olive,20,Bí Đỏ Um Bò Bằm | Salad Thanh Cua Dâu Tây Sốt Sữa Chua Thì Là,DIFFERENT,"Dầu olive là chất béo, ô liu là quả","22198,29590,31967,35276,36577,37012,38521,41363,41401,45189,45838,45899,45947,47798,49065,49951,50897,51312,53156,62561"
37,tôm biển,tôm viên,shrimp balls,17,Tôm nõn rim mắm | Dưa gang trộn tôm bóc nõn,DIFFERENT,Tôm biển tươi khác với tôm viên chế biến,"11370,11581,17352,17613,19057,21053,21304,22689,27649,29192,30182,35174,35817,40828,41734,41897,46856"
39,bột ngũ vị hương,Bột (chung),flour,17,Thịt heo một nắng | Thịt ba rọi 1 nắng áp chảo,DIFFERENT,Ngũ vị hương là gia vị hương liệu,"21713,21811,23140,27181,30722,31038,32092,34805,35230,39212,41054,41536,45775,51078,51266,53594,61961"
40,củ cải trắng,cải thảo,napa cabbage,16,HỦ TIẾU đuôi heo | Canh Xương Heo Hầm Rau Củ,DIFFERENT,Củ cải trắng khác hoàn toàn cải thảo,"6279,6963,8266,11447,13312,13455,14194,14525,14568,15087,15559,16937,19469,19635,19648,20755"
41,bắp non,bắp ngọt,sweet corn,16,Sườn Heo Hầm Bắp Non | Cá dấm trắng chiên giòn sốt chua ngọt,DIFFERENT,Bắp non và bắp ngọt là hai giai đoạn/loại,"7272,15697,17915,51766,52006,56132,57612,57613,57697,57793,57878,57977,58266,59282,59775,59781"
42,giấm,dầu giấm,vinaigrette,16,Cơm sốt tôm chua ngọt 칠리새우덮밥 | Salad thanh cua dưa leo lạnh,DIFFERENT,"Giấm là thành phần, dầu giấm là sốt trộn","13972,21392,26376,27655,31745,31953,32391,34430,36879,38024,39758,40878,45939,46620,46869,53145"
47,khoai sọ,khoai môn,taro,15,Súp kem khoai sọ thịt heo 🥓mộc nhĩ | Súp kem thịt gà khoai sọ + sandwich 🍞,DIFFERENT,Khoai sọ và khoai môn là hai loại khác nhau,"11564,12823,13183,13526,16502,19254,19309,19338,23821,26510,27372,29174,44312,47037,61253"
48,bột cà ri,Bột (chung),flour,15,Cà ri TÔM với chuối sáp | Chân nấm đông cô xào lăn,DIFFERENT,Bột cà ri là hỗn hợp gia vị,"23979,32429,34026,36192,37775,38363,40068,40468,40512,40657,41025,42475,44345,53433,63012"
53,Bột nghệ,Bột (chung),flour,14,Cơm bento: Gà con ham học (Dưa chua xào thịt quay) | Cơm bento: Thịt nạc rang cháy cạnh,DIFFERENT,"Bột nghệ là gia vị, không phải bột nền","21292,23199,24060,24330,24726,24914,28053,30370,32895,35461,36094,39684,44941,46912"
54,mắm nêm,nước mắm,fish sauce,14,Tim Heo Luộc Chấm Mắm Nêm | Cá chìa vôi nướng muối ớt,DIFFERENT,Mắm nêm và nước mắm có vị khác biệt,"27658,29227,29734,36910,37399,38954,43862,52880,52920,53782,61079,61821,62103,63255"
55,nước hầm xương,nước,water,13,Canh nước hầm xương nấu bí xanh và nấm đùi gà | SP.0988 - Bánh Canh Tôm Thịt Miền Tây,DIFFERENT,Nước hầm xương khác nước lọc thông thường,"6552,9442,11633,13967,16462,18025,18144,19016,22747,24698,25101,25296,42559"
59,bột gà,Bột (chung),flour,13,Mì Đuôi Heo Hầm Ngũ Trân | Bún Riêu Cua Đồng Giò Heo,DIFFERENT,Bột gà (hạt nêm) là gia vị,"21105,21168,21479,21836,22215,22222,22262,22418,22465,22687,32182,42362,60975"
60,Nước chấm,nước,water,13,Mực Trứng Hấp Gừng | Cá Chim Trắng Biển Hấp Gừng Kèm Rau Củ,DIFFERENT,"Nước chấm là sốt pha, không phải nước lọc","21203,28798,28810,29680,30453,34522,36593,37115,40074,40505,40622,44370,44682"
61,dầu hào chay,chay,vegetarian,13,Nộm rong sụn nấm đùi gà (món chay) | Đậu hũ non sốt nấm kim châm (món chay),DIFFERENT,"Dầu hào chay là gia vị, chay là khái niệm","21684,23947,23961,25074,25379,31549,33494,35388,35940,37651,46465,63983,64113"
65,thịt xay,thịt vịt,duck,12,Nui sao nấu hẹ thịt băm | Canh cà chua thịt xay tép khô,DIFFERENT,Thịt xay (thường là heo) khác thịt vịt,"8072,8136,8176,15601,15808,15812,18283,19878,20420,21118,60698,61444"
69,su hào,su su,chayote,12,Thịt HEO kho sệt | Món canh với các loại củ và thịt xay,DIFFERENT,Su hào và su su là hai loại quả/củ khác,"21969,22152,23410,26576,27545,30787,32039,40883,46616,50668,53424,63253"
70,rau càng cua,cua,crab,12,Rau càng cua trộn bò trứng | Gỏi rau càng cua thịt bò,DIFFERENT,"Rau càng cua là thực vật, cua là động vật","22821,22888,22898,22931,22958,28589,36548,37258,37914,39754,46865,61180"
72,bột hành,Bột (chung),flour,12,Thịt lợn nướng ướp kiểu Hàn Quốc | Bắp GIÒ heo khìa nước dừa,DIFFERENT,Bột hành là gia vị hương liệu,"24500,29975,32887,34169,34906,35333,44858,47406,47505,54216,54422,62030"
77,mì trứng,Trứng gà,Chicken Egg,11,Mì trứng xào rau | Mì trứng xào tôm nõn,DIFFERENT,"Mì trứng là sợi mì, không phải quả trứng","7248,8253,9987,10014,10022,10983,12504,12555,16465,16492,18587"
78,Rau ăn kèm,lá lốt,betel leaves,11,Mực Trứng Hấp Gừng | Bún cá nấu thơm (dứa)| Lẩu cá chay,DIFFERENT,"Rau ăn kèm quá chung, lá lốt quá cụ thể","21200,24523,24898,24911,25010,25022,28565,28717,43986,45809,47261"
79,mắm ruốc,nước mắm,fish sauce,11,Bún Bò Quảng Nam | Bún bò tái giò heo,DIFFERENT,Mắm ruốc đặc khác với nước mắm lỏng,"24084,31263,32271,36365,36903,38298,39077,39502,45528,60180,64620"
81,mực lá,lá,leaves,11,Phở sắn chiên giòn sốt mực xào rau củ chua ngọt | Mực Sốt Thái,DIFFERENT,"Mực lá là hải sản, lá là bộ phận cây","25410,27069,32985,37222,42490,45058,48066,54848,61511,61529,63644"
82,Thơm,rau thơm,herbs,11,Cá Đổng Nấu Ngót | Cá trạch kho xả,DIFFERENT,Thơm (dứa) khác hoàn toàn rau thơm,"26082,29983,31852,33350,34572,34770,35009,44221,44501,47293,50801"
85,dưa chuột,dưa chua,pickled mustard,10,Nộm giò rau củ | Salad tôm bóc nõn - #healthy,DIFFERENT,Dưa chuột tươi khác dưa chua đã muối,"9981,11650,11828,13036,13495,16408,17575,20072,20499,23816"
86,mì,bánh mì,bread,10,"Mì gói xào rau muống tóp mỡ | Mì Ý sốt kem, thịt băm, củ dền",DIFFERENT,Mì gói và bánh mì là hai loại khác biệt,"20879,21647,22854,23608,23909,26026,35725,38281,44959,64266"
91,lá dứa,dứa,pineapple,10,Xôi cua | Tàu hủ nước đường làm bằng rau câu dẻo,DIFFERENT,Lá dứa (thơm) khác quả dứa (thơm/khóm),"33090,35021,37832,43449,43458,44277,45037,47535,53208,63826"
92,tôm càng xanh,tôm thẻ loại to,shrimp,9,Canh khoai tây cà rốt nấu tôm càng xanh | Lẩu ghẹ hải sản chua ngọt,DIFFERENT,Tôm càng xanh và tôm thẻ là loài khác,"7005,10266,18531,22724,23128,23156,24191,24310,28808"
97,giấm gạo,gạo,rice,9,Bún Riêu Cua Đồng Giò Heo | Cá Nục Nấu Ngót,DIFFERENT,"Giấm gạo là chất lỏng chua, gạo là hạt","21169,22216,22419,22596,22968,32464,41257,53538,62527"
100,bột tỏi,tỏi,garlic,9,Phi Lê Cá Lóc Áo Bột Chiên Giòn | BÒ viên,DIFFERENT,"Bột tỏi là gia vị khô, tỏi là củ tươi","26604,30030,30250,32886,34168,38131,41015,41037,41887"
102,húng quế,quế,Cinnamon,9,Gỏi Xoài Khô Cá Sặc | Gỏi Củ Cải Tôm Càng Nướng,DIFFERENT,"Húng quế là rau, quế là vỏ thân thảo dược","29894,32215,33290,37452,37865,50067,62416,63492,64439"
104,tôm nõn,tôm thẻ loại to,shrimp,8,Củ niễng xào tôm nõn | Canh cải thìa tôm thịt,DIFFERENT,"Tôm nõn là tôm bóc vỏ, không nhất thiết là tôm thẻ","6768,8658,13713,17010,18071,21177,21704,53191"
107,lòng trắng trứng,Trứng gà,Chicken Egg,8,Bánh qui nấm | Mực viên chiên,DIFFERENT,"Lòng trắng là một phần, trứng gà là nguyên quả","9562,18858,19164,23634,29478,34904,43181,53160"
109,nước màu,nước,water,8,Cá lăng kho lạt | Cá Kèo Kho Thịt Ba Rọi,DIFFERENT,"Nước màu là gia vị, nước là chất lỏng trung tính","22632,22677,31228,33508,35172,35553,36675,39491"
110,Mắm nêm,nước mắm,fish sauce,8,Bún mắm nêm tai heo | Mì lá cuốn cá cam nướng,DIFFERENT,Mắm nêm và nước mắm là hai loại mắm khác nhau,"23403,25060,28932,30604,31515,38108,39435,62345"
111,đùi gà,nấm đùi gà,king oyster mushroom,8,Nấm ngọc tẩm xào thịt gà | Đu đủ kho thịt,DIFFERENT,"Đùi gà là thịt, nấm đùi gà là thực vật","23715,25702,40969,51245,60706,61695,62069,63451"
114,Nước màu,nước,water,8,Cá bống biển kho mặn | Cá đối kho hành ớt,DIFFERENT,"Nước màu là caramen, khác hoàn toàn nước lọc","27208,30131,36112,37221,43393,44225,52257,53398"
115,tim heo,thịt heo,pork,8,Tim Heo Luộc Chấm Mắm Nêm | Tim Heo Xào Đậu Que Cà Rốt,DIFFERENT,"Tim heo là nội tạng, thịt heo là phần cơ","27652,31623,34415,36439,40873,41005,41008,41041"
116,bánh canh,bánh,cake,8,Bánh canh cua thịt gà | Bánh canh cua giò heo,DIFFERENT,"Bánh canh là sợi bột, bánh là từ quá chung","30387,33340,36898,39110,45614,45929,49931,63016"
121,Rau cần,cần tây,celery,7,"Canh Khoai Tây Nấu Rau Cần, Cà Chua, Thì Là | Canh chua rau cần rong biển",DIFFERENT,Rau cần (cần ta) khác với cần tây,"7044,10305,10422,10700,19817,39572,44919"
123,nấm lộc nhung khô,nấm kim châm,enoki mushroom,7,Miến Xào Nấm Lộc Nhung Chay | NẤM lộc nhung xào bí nụ,DIFFERENT,Nấm lộc nhung và nấm kim châm là hai loại khác nhau,"9228,9252,12067,12831,14370,15257,15724"
128,bắp ngô,râu bắp ngô,corn silk,7,Cơm Chiên Gà Rau Củ | Nem thịt dọn tủ,DIFFERENT,"Bắp ngô là hạt/cùi, râu bắp là bộ phận khác","20941,21849,24958,25680,32367,33043,62843"
130,Hành khô gia vị,gia vị,seasoning,7,"Rau muống xào mướp, giá đỗ | Canh rau ngót nấu cá",DIFFERENT,"Hành khô là nguyên liệu cụ thể, không phải gia vị chung","22754,22867,23442,27306,60518,60793,62952"
132,Dầu hào chay,chay,vegetarian,7,Bí Nụ Xào Nấm Hoàng Kim Chay | Bông Kim Châm Kho Rau Củ Chay,DIFFERENT,"Dầu hào là gia vị, chay là tính chất món ăn","24513,25244,28187,30496,35400,46399,64022"
133,Giấm,dầu giấm,vinaigrette,7,Lẩu đầu cá hồi nấu măng chua | Gỏi thốt nốt tôm thịt,DIFFERENT,Giấm và dầu giấm (sốt trộn) khác nhau,"26810,27239,31366,32241,32284,33764,43875"
134,Hành hoa,nước,water,7,Bún tôm Quảng Ninh | Cá chim nướng mỡ hành,DIFFERENT,"Hành hoa là rau, nước là chất lỏng","29767,31061,32435,33559,34502,34991,36425"
135,nước màu dừa,nước dừa,coconut water,7,Thịt Heo Kho Cùi Dừa 🥥 | Cá Bạc Má Kho Măng,DIFFERENT,"Nước màu dừa là nước hàng, khác nước dừa tươi","29776,51278,53136,54501,62054,63088,64578"
136,dấm táo,táo,apple,7,Thịt Chiên Giòn Sốt Chua Ngọt Hàn Quốc (Tangsuyuk) | Salad Tôm Xào Tỏi Rau Quả Sốt Mù Tạt,DIFFERENT,"Dấm táo là chất lỏng chua, táo là trái cây","34779,36579,43603,45837,50876,53157,61178"
137,hành khô,hành tây,onion,7,Canh măng mực | Mực xào su hào,DIFFERENT,Hành khô (tím) và hành tây là hai loại khác nhau,"51495,55353,55601,60008,63235,63734,64725"
140,đậu hủ trắng,đậu trắng,white beans,6,"Bún Gạo Lứt Nước Lèo Cà Chua Nấm Hương Chay | Đậu Hủ Kho Thịt Băm, Nấm Hương Sốt Nước Tương",DIFFERENT,"Đậu hủ làm từ đậu nành, khác đậu trắng hạt","7748,9792,9823,11527,12316,18480"
141,rau cần nước,cần tây,celery,6,Rau cần nước nấu cá | Cá LÓC xào rau cần nước,DIFFERENT,Cần nước và cần tây là hai loại khác nhau,"7970,9167,17854,18185,23573,27414"
142,hành khô,hành lá,green onion,6,Canh măng mực | Lẩu tôm bầu,DIFFERENT,Hành khô và hành lá là hai bộ phận/loại khác,"8677,8746,8861,17572,52225,54437"
143,đậu hũ trắng,đậu hũ trứng,egg tofu,6,Đậu hũ chiên nước mắm | Chả đậu hũ bắp nấm rong biển dọn tủ,DIFFERENT,Đậu hũ trắng và đậu hũ trứng khác thành phần,"13087,14031,14237,14249,17480,18256"
146,tôm bóc nõn,tôm thẻ loại to,shrimp,6,Mì Gói Nấu Tôm Nõn & Đậu Que Vàng | Bánh Canh Nấm Hải Sản,DIFFERENT,Tôm bóc nõn không nhất thiết là tôm thẻ to,"21183,48067,52989,53311,61185,63571"
147,Bò,bò viên,beef balls,6,Bò Xào Cải Xoăn Kale | Xà Lách Trộn Thịt Bò,DIFFERENT,"Bò là thịt tươi, bò viên là thực phẩm chế biến","21813,31277,34245,43494,46133,48094"
149,lá chanh,chanh,lime,6,Chà bông cá thu | Bún riêu hải sản,DIFFERENT,Lá chanh và quả chanh dùng mục đích khác nhau,"22421,30186,34250,42318,42949,64701"
150,cá điêu hồng,cá hồng,snapper,6,Cá điêu hồng kho bầu | Lẩu gà và cá điêu hồng chua ngọt...🍅🌶🌽,DIFFERENT,Cá điêu hồng và cá hồng là hai loài khác,"22634,33120,34529,41099,42898,45553"
153,Nước trộn gỏi,nước,water,6,Gỏi hoa chuối tôm thịt | Gỏi tôm rau muống,DIFFERENT,"Nước trộn gỏi là hỗn hợp gia vị, không phải nước","23371,24294,29952,30394,34484,41865"
154,bò,bò viên,beef balls,6,Lẩu cá diêu hồng | Canh chua bò,DIFFERENT,"Bò là thịt tươi, bò viên là dạng chế biến","24312,27745,30235,38183,45136,58564"
155,Rau càng cua,cua,crab,6,Nộm rau càng cua | Canh rau càng cua,DIFFERENT,"Rau càng cua là thực vật, cua là động vật","24484,31678,35035,35773,41862,62851"
158,nước lá dứa,dứa,pineapple,6,Rau câu giòn lá dứa | Rau câu trứng,DIFFERENT,Lá dứa (lá nếp) khác quả dứa (thơm),"26413,28283,30412,33661,43578,44119"
159,dừa,nước dừa,coconut water,6,"Bánh canh phồng tôm | Cá ngân kho chuối xanh, cà chua",DIFFERENT,Cùi dừa/quả dừa khác với nước dừa,"26658,27111,37406,45767,49333,54202"
161,Me,lá me,tamarind leaves,6,Lẩu đầu cá hồi nấu măng chua | Canh chua bò,DIFFERENT,Quả me/nước me khác với lá me,"26808,27752,36672,36749,41307,46285"
164,Lá chanh,chanh,lime,6,Tôm rang chao lá chanh | Thịt nướng lá chanh,DIFFERENT,Lá chanh và quả chanh là hai bộ phận khác,"30813,32056,40918,46998,64167,64566"
166,trai thơm,rau thơm,herbs,6,Canh cá dìa nấu thơm cà chua | Bún cá- chả cá - sứa Nha Trang,DIFFERENT,Trai thơm (quả dứa) khác rau thơm,"33394,34101,35217,36907,42848,46719"
167,Dầu mè thơm,Mè (Vừng),sesame seeds,6,🌱 Canh Súp Mandu Rong Biển Đậu Hủ Chay | Miến Nấu Tôm Nấm và Rong Biển Wakame,DIFFERENT,"Dầu mè là chất béo, mè là hạt","33836,42207,44361,45096,50722,61848"
168,bôt ngot,bột ngô,cornstarch,6,Chả giò hải sản | Tôm rim thịt,DIFFERENT,"Bột ngọt là gia vị, bột ngô là tinh bột","48729,48831,48855,48872,52324,61501"
169,mắm tôm,nước mắm,fish sauce,5,Thịt bắp giò (đùi heo) nấu giả cầy | Lẩu Riêu Cua Đồng Bắp Bò Ngày Quốc Khánh 2/9,DIFFERENT,Mắm tôm và nước mắm có mùi vị khác biệt,"6626,9440,15107,18982,29784"
171,ba chỉ,ba chỉ bò,beef belly,5,Thịt ba chỉ nướng NCKD | Bento box 13: Bánh bao thịt kho Đài Loan,DIFFERENT,Ba chỉ heo thường khác ba chỉ bò,"7164,19201,34669,41241,62333"
