pattern_id,raw_name,wrong_name,wrong_en,correct_name,confidence,note,row_count,dish_examples,status,source_file,row_ids
1,nước tương,nước,water,Nước tương,high,,203,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ | Filet Cá Ba Sa Kho Xoài Sấy Dẻo,HAS_FIX,1 copy 41.json,"20933,20946,20979,21145,21436,21481,21523,21563,21594,21633,21660,21889,22557,22830,22946,22969,23058,23109,23340,23767,23946,23974,24441,24457,25075,25378,26849,27123,27344,27819,27934,28296,28342,28535,28639,28721,29072,29165,29254,29492,29798,29823,29864,30098,30153,30167,30256,30345,30486,30504,31057,31077,31125,31155,31204,31307,31394,31455,31474,31548,31595,31645,31660,31716,31751,32091,32244,32322,32779,32850,32884,33065,33073,33154,33195,33255,33273,33431,33493,33689,33734,33930,33967,34029,34808,35270,35387,35480,35501,35512,35595,35695,35871,36815,36938,37019,37318,37381,37389,37512,37602,37634,37650,37813,38014,38086,38094,38315,38461,38618,38867,39037,39210,39238,39365,39385,39528,39551,40264,40634,40798,40804,41348,41388,42077,42149,42186,42263,42314,42436,42526,42665,42807,44709,46158,46466,46490,46549,46979,47339,47430,47501,47574,47821,47909,47917,48032,50083,51067,51112,51196,51242,51511,52871,52901,53196,53232,53550,53567,53625,53726,53815,53831,53843,54126,54302,54576,58495,60229,60892,60907,60913,60932,60998,61008,61077,61621,61652,61768,62028,62177,62185,62275,62319,62418,62441,62590,62876,62900,62925,63040,63274,63379,63486,63517,63664,63721,63765,63843,63915,63951,64100,64130"
13,bột canh,Bột (chung),flour,Bột canh,high,,33,Mực Trứng Hấp Gừng | Cá nục một nắng | Thịt heo áp chảo ngũ vị,HAS_FIX,1 copy 41.json,"21204,21986,22434,26287,26309,27167,27666,28707,29237,29396,30010,30441,30568,31620,32178,33156,33352,33371,33685,33698,33772,34136,34318,34507,37823,39082,45356,45499,46332,46624,46967,62305,63924"
14,cải trắng,cải thảo,napa cabbage,Củ cải trắng,high,,31,Bún rau củ chay | Gỏi Cuốn Thịt Xá Xíu & Hoa Sen Cạn | Nui giò heo,HAS_FIX,1 copy 41.json,"8293,10126,22955,23935,27735,28021,28301,30157,31840,32209,33484,34132,34635,37610,38673,38946,39103,39111,39118,39709,39855,41749,41798,43137,43206,44286,45092,45397,46860,47263,48165"
15,Nước,nước dừa,coconut water,Nước,high,,31,"Bánh Xèo Bò Trứng | Canh Cá nấu dưa | Canh rau, củ, nấm",HAS_FIX,1 copy 41.json,"25503,27030,28365,29294,29855,29970,30497,36121,37063,38360,38887,42685,43083,43804,44013,49891,53123,53257,54236,54293,63890,64249,64297,64356,64368,64386,64427,64474,64501,64551,64635"
16,thịt bò,thịt bê,veal,Thịt bò,high,,30,Thịt Bò Xào Cà Chua Dưa Leo | Trứng Chiên Thịt Bò | SP.0975 - Cải Thìa Xào Bò Xốt Dầu Hào,HAS_FIX,1 copy 41.json,"6299,7133,10129,11168,11171,11591,11778,12008,12323,12332,12361,12554,12562,12692,13041,13192,13335,14351,15069,17163,17373,17376,17797,18111,18378,18728,18775,19220,20313,20411"
17,mắm,nước mắm,fish sauce,Nước mắm,high,,28,Mực Lá Xào | Canh Khổ Qua Rừng Nhồi Chả Cá Măng | Cá chim kho thơm,HAS_FIX,1 copy 41.json,"6259,6334,6932,8277,10375,11935,12091,12183,12498,15272,17977,18613,18798,19214,22238,26940,28602,35175,35555,40146,40269,41656,41733,42504,43524,61612,61880,62018"
18,Hành phi,hành tím,shallot,Hành phi,high,,27,Gỏi Ức Gà Rau Tiến Vua | Súp Sò Điệp Bong Bóng Cá | Bánh đúc thịt làm từ cơm nguội,HAS_FIX,1 copy 41.json,"6201,9043,10156,11885,12179,17268,20247,20344,51894,52645,54621,57142,57143,57148,57698,57881,57975,58069,58138,58362,59485,59486,59645,59711,60424,60428,60573"
19,ớt chuông đỏ,ớt,chili pepper,Ớt chuông đỏ,high,,27,"Bánh tráng cuốn thịt vịt hun khói | CÀ RY rau củ quả | Cải dún, đậu cove, ớt chuông xào thịt heo nạc",HAS_FIX,1 copy 41.json,"21468,21530,22104,23337,26051,29068,30228,31051,33162,33551,36049,36349,36722,37585,37639,38813,39269,40365,40792,43265,45220,45566,47642,53110,59949,61737,64159"
20,nước cốt dừa,nước dừa,coconut water,Nước cốt dừa,high,,27,CÀ RY rau củ quả | Cà ri TÔM với chuối sáp | Rau Câu Sơn Thuỷ,HAS_FIX,1 copy 41.json,"21537,23980,26916,29803,30245,30410,30965,32294,33659,37327,37374,37772,39421,39568,39579,40063,40425,40467,41145,41153,41318,43576,44053,44781,45563,47948,49881"
21,bột bắp,Bột (chung),flour,Bột bắp,high,,27,"SP.0829 - Súp Cua Ngô Vàng Tuyết Nhĩ | Chả Băm Đậu Hũ | Cà Tím, Đậu Hũ, Cà Rốt Áp Chảo Sốt Dầu Hào",HAS_FIX,1 copy 41.json,"21903,23294,23339,23973,24699,28138,28642,29477,30260,31721,31742,32074,32914,33051,35474,40172,41556,43473,44867,50171,51299,54373,54532,61235,62276,62963,64419"
22,Dầu mè,Mè (Vừng),sesame seeds,Dầu mè,high,,27,Cà tím cuộn đậu hũ hấp (món chay) | Củ Sen Kẹp Tôm Chiên Giòn | SP.0796 - Súp Tóc Tiên Thịt Viên,HAS_FIX,1 copy 41.json,"23274,25187,25462,25613,26221,31367,31591,32251,32493,34323,34859,34901,34934,35810,36047,36956,37233,37582,37928,41297,41801,42634,42909,43148,51043,51446,51453"
23,hành phi,hành tím,shallot,Hành phi,high,,26,Gỏi bắp cải rau má | Canh khoai mỡ nấu tép khô thịt xay | Gỏi Gà Bồn Bồn Rau Tiến Vua,HAS_FIX,1 copy 41.json,"7344,7714,9304,11101,11889,12281,13141,13671,14217,14979,15413,16455,16714,16717,17861,20617,53506,56960,57495,58443,58832,60431,60508,60509,60839,60841"
24,me,lá me,tamarind leaves,Me,high,,26,Canh chua chả cá chiên | Canh chua cá bông lau | Canh chua tôm càng xanh,HAS_FIX,1 copy 41.json,"21357,22312,23159,23406,23902,24318,25802,26235,26960,29075,29483,30044,32906,33556,34154,37357,38490,39598,46174,47461,50802,53967,60649,60982,61861,63786"
25,măng tây,măng,bamboo shoots,Măng tây,high,,25,Nui Tóc Tiên Nấu Chả Tôm Quết & Măng Tây | Steak bò sốt phomai | Ức gà nướng rau củ,HAS_FIX,1 copy 41.json,"21256,22018,23084,23284,23326,23556,23569,23937,24471,26828,29630,31468,34736,35322,35824,36513,36980,39810,42079,42879,43175,45228,46659,53898,62893"
26,rau cần,cần tây,celery,Rau cần nước,high,,24,"Bánh đa Quỳnh Côi xào giò, rau cần nước | Canh Cải Thảo Nấu Thịt Bằm | Lẩu cua đồng",HAS_FIX,1 copy 41.json,"9268,11331,12201,12590,13213,17038,19685,25174,26195,27999,29265,30013,30192,30769,33261,37312,37324,38715,39309,39518,41894,42743,42771,43535"
27,dưa chuột,dưa,pickles,Dưa chuột,high,,23,"Nộm tai heo, dưa chuột | Bánh tráng cuốn thịt vịt hun khói | Mì xào thịt xông khói",HAS_FIX,1 copy 41.json,"21344,21470,23667,23674,24488,29574,30911,33653,34520,35123,35826,39170,39463,40985,43599,43852,44980,46595,50072,51964,52766,53789,53995"
28,Tương ớt,ớt,chili pepper,Tương ớt,high,,22,Gỏi chả+heo quay | BÒ KHO ĐƠN GIẢN - AI Cũng LÀM ĐƯỢC | Thịt xào trứng,HAS_FIX,1 copy 41.json,"23645,25219,26971,28016,28173,29582,32161,32603,33150,34928,35210,35938,37665,37722,41961,45121,47258,47295,47436,47598,47702,47945"
29,nấm đông cô tươi,nấm hương,shiitake mushroom,Nấm đông cô tươi,high,,21,Rau Củ Xào Ngũ Sắc | Lẩu tôm bầu | Mì Gói Xào Da Heo,HAS_FIX,1 copy 41.json,"6464,8743,9395,10264,11659,12458,17569,17889,20147,24696,28745,33684,41368,43560,43610,44362,44429,45613,50866,60857,61452"
30,Hành,hành lá,green onion,Hành tím,medium,Rang thịt thường dùng hành tím băm,21,Thịt xay rang hành và cà rốt | Hoa chuối trộn tôm thịt | Canh nấm kim châm nấu mọc,HAS_FIX,1 copy 41.json,"23205,29195,29271,29514,30132,30533,32257,32745,32935,33503,33794,33815,34670,35450,37806,38000,38078,42801,43284,45370,45942"
31,nấm đông cô,nấm hương,shiitake mushroom,Nấm đông cô,high,,20,Bún rau củ chay | Tôm hùm (Lobster) tẩm bột chiên sốt nấm | Cà tím bung với cá bông lau,HAS_FIX,1 copy 41.json,"8295,8512,11470,14506,14884,21899,25117,26436,28790,32146,34496,36651,40821,43255,45422,45866,45936,54530,54566,64415"
32,dầu olive,ô liu,olive,Dầu ô liu,high,,20,Bí Đỏ Um Bò Bằm | Salad Thanh Cua Dâu Tây Sốt Sữa Chua Thì Là | Mý Ý Thịt Viên Sốt Cà Chuẩn Từ Đầu Bếp Trưởng Vùng Sicily Ý,HAS_FIX,1 copy 41.json,"22198,29590,31967,35276,36577,37012,38521,41363,41401,45189,45838,45899,45947,47798,49065,49951,50897,51312,53156,62561"
33,Bột bắp,Bột (chung),flour,Bột bắp,high,,20,Súp Tôm Tóc Tiên | Mỳ ý tôm sốt kem | Thịt xào trứng,HAS_FIX,1 copy 41.json,"25614,25983,26973,27630,31749,33316,33766,34777,37017,37275,38082,39592,39724,39790,40313,41305,43160,46711,47999,53085"
34,tôm tươi,tôm thẻ loại to,shrimp,Tôm tươi,high,,19,Canh Rau Tập Tàng Nấu Tôm Tươi | Hoa Chuối Hột Trộn Tôm | Mì Ý tôm sốt cải bó xôi,HAS_FIX,1 copy 41.json,"7151,22738,22855,23073,24894,25280,25744,25796,29133,29175,29366,30476,30774,34534,37619,38876,40151,40837,64026"
35,giò sống,giò,pork sausage,Giò sống,high,,19,Canh cải nấu riêu tôm thịt | Xíu Mại Nấm Hương Nước Cà | Giò Sống Cuộn Rong Biển Tôm Thịt,HAS_FIX,1 copy 41.json,"7269,7468,11905,12059,12132,12175,13023,15170,15755,18867,21949,24335,25968,31521,33048,33407,37658,42904,46641"
36,ường,đường,sugar,Đường,high,Lỗi chính tả,17,Cá Chim Hấp | Gà xào nấm cải thìa | Cá Rô Phi Chiên Giòn Sốt Mắm Tỏi,HAS_FIX,1 copy 41.json,"6039,6399,7417,7961,7966,8226,8232,8818,9619,25766,25959,29699,32604,35879,37218,37485,41922"
37,tôm biển,tôm viên,shrimp balls,Tôm biển,high,,17,Tôm nõn rim mắm | Dưa gang trộn tôm bóc nõn | Bánh đa hải sản,HAS_FIX,1 copy 41.json,"11370,11581,17352,17613,19057,21053,21304,22689,27649,29192,30182,35174,35817,40828,41734,41897,46856"
38,đậu,đậu que,green beans,Đậu hũ,high,,17,"Canh rong xà lách thịt bằm đậu hũ (rong lục ulva) | Đậu hấp trứng, thịt băm | Bún ốc bò",HAS_FIX,1 copy 41.json,"19122,22064,29040,30957,31541,33256,33744,34486,36526,41509,42344,43118,45115,53962,61378,62379,63136"
39,bột ngũ vị hương,Bột (chung),flour,Bột ngũ vị hương,high,,17,Thịt heo một nắng | Thịt ba rọi 1 nắng áp chảo | Thịt khìa nước dừa,HAS_FIX,1 copy 41.json,"21713,21811,23140,27181,30722,31038,32092,34805,35230,39212,41054,41536,45775,51078,51266,53594,61961"
40,củ cải trắng,cải thảo,napa cabbage,Củ cải trắng,high,,16,HỦ TIẾU đuôi heo | Canh Xương Heo Hầm Rau Củ | Chả cá hàn quốc (nước dùng),HAS_FIX,1 copy 41.json,"6279,6963,8266,11447,13312,13455,14194,14525,14568,15087,15559,16937,19469,19635,19648,20755"
41,bắp non,bắp ngọt,sweet corn,Bắp non,high,,16,Sườn Heo Hầm Bắp Non | Cá dấm trắng chiên giòn sốt chua ngọt | Cơm bento: Tôm xào rau củ,HAS_FIX,1 copy 41.json,"7272,15697,17915,51766,52006,56132,57612,57613,57697,57793,57878,57977,58266,59282,59775,59781"
42,giấm,dầu giấm,vinaigrette,Giấm,high,,16,Cơm sốt tôm chua ngọt 칠리새우덮밥 | Salad thanh cua dưa leo lạnh | Thịt Luộc Mắm Tôm,HAS_FIX,1 copy 41.json,"13972,21392,26376,27655,31745,31953,32391,34430,36879,38024,39758,40878,45939,46620,46869,53145"
43,cá ngừ,hộp cá ngừ,canned tuna,Cá ngừ,high,,16,Mì Lá cuốn cá ngừ | Cháo cá ngừ 🐟 đậu bắp | Cháo hạt cá ngừ 🐟 rau ngót,HAS_FIX,1 copy 41.json,"24788,25907,26586,27297,30779,31484,32081,32873,36807,37060,37356,38772,47214,54751,61066,63956"
44,bột gạo,Bột (chung),flour,Bột gạo,high,,16,Bánh canh bột gạo nấu cá lóc | Bánh BÒ xốp vị chuối | Làm thịt ba chỉ chay,HAS_FIX,1 copy 41.json,"26494,26933,28037,32789,34240,34382,35020,39580,41315,43677,47056,47946,61099,61503,62523,62793"
45,thịt vai heo,thịt nạc dăm,pork shoulder,Thịt vai heo,high,,15,Thịt vai heo sốt cà chua | Thịt Luộc Cà Pháo Mắm Nêm | Thịt chả rang nước mắm,HAS_FIX,1 copy 41.json,"7611,7870,9895,9902,11890,11937,12488,12741,12742,12761,12763,12786,12835,12895,12949"
46,thịt nạc vai,thịt nạc dăm,pork shoulder,Thịt nạc vai,high,,15,Thịt chiên xù chấm sốt chua ngọt | Gỏi Cuốn Thịt Xá Xíu & Hoa Sen Cạn | Thịt nạc vai heo kho tiêu,HAS_FIX,1 copy 41.json,"10099,10117,13038,13531,19828,34546,36359,36883,38685,41233,41535,41546,44622,53848,65143"
47,khoai sọ,khoai môn,taro,Khoai sọ,high,,15,Súp kem khoai sọ thịt heo 🥓mộc nhĩ | Súp kem thịt gà khoai sọ + sandwich 🍞 | Súp thịt heo 🥓 khoai sọ rong biển,HAS_FIX,1 copy 41.json,"11564,12823,13183,13526,16502,19254,19309,19338,23821,26510,27372,29174,44312,47037,61253"
48,bột cà ri,Bột (chung),flour,Bột cà ri,high,,15,Cà ri TÔM với chuối sáp | Chân nấm đông cô xào lăn | Phá Lấu Lòng Bò,HAS_FIX,1 copy 41.json,"23979,32429,34026,36192,37775,38363,40068,40468,40512,40657,41025,42475,44345,53433,63012"
49,Nấm đông cô tươi,nấm hương,shiitake mushroom,Nấm đông cô tươi,high,,14,"Soup Hạt Sen Bắp Nấm | Hạt sen, Hạt điều và Bắp xào nấm | Canh Nấm Rơm, Nấm Đông Cô Gừng Non Chay",HAS_FIX,1 copy 41.json,"6070,6095,7171,8046,9158,9587,15791,39612,40565,43663,44097,50111,54489,64305"
50,thịt vai xay,thịt nạc dăm,pork shoulder,Thịt vai xay,high,,14,Trứng vịt cồ chiên thịt vai xay | Thịt xào hành tây | Canh súp nấm thịt xay tép khô,HAS_FIX,1 copy 41.json,"7614,7836,8206,9893,11077,11678,11882,11911,12736,12738,12740,12759,12788,12894"
51,thịt nạc xay,thịt nạc dăm,pork shoulder,Thịt nạc xay,high,,14,"Phi lê cá rô phi cuộn thịt chiên giòn | Bì cuộn thịt hấp | Cải bắp cuộn tôm, thịt",HAS_FIX,1 copy 41.json,"7963,9410,9605,11559,13620,13963,14670,16139,16335,17179,17213,17893,19156,19311"
52,thịt nạc vai xay,thịt nạc dăm,pork shoulder,Thịt nạc vai xay,high,,14,"Thịt băm rim mắm | Rau tầm bóp xào thịt băm | Thịt nạc vai heo rim mắm, hành",HAS_FIX,1 copy 41.json,"9261,11216,12783,12879,15740,16677,18472,22067,25082,26496,32072,36598,36925,53174"
53,Bột nghệ,Bột (chung),flour,Bột nghệ,high,,14,Cơm bento: Gà con ham học (Dưa chua xào thịt quay) | Cơm bento: Thịt nạc rang cháy cạnh | Bánh khọt mì tôm,HAS_FIX,1 copy 41.json,"21292,23199,24060,24330,24726,24914,28053,30370,32895,35461,36094,39684,44941,46912"
54,mắm nêm,nước mắm,fish sauce,Mắm nêm,high,,14,Tim Heo Luộc Chấm Mắm Nêm | Cá chìa vôi nướng muối ớt | Thịt Luộc Mắm Nêm,HAS_FIX,1 copy 41.json,"27658,29227,29734,36910,37399,38954,43862,52880,52920,53782,61079,61821,62103,63255"
55,nước hầm xương,nước,water,Nước hầm xương,high,,13,Canh nước hầm xương nấu bí xanh và nấm đùi gà | SP.0988 - Bánh Canh Tôm Thịt Miền Tây | SP.0954 - Cháo Dinh Dưỡng Thịt Heo Rau Củ,HAS_FIX,1 copy 41.json,"6552,9442,11633,13967,16462,18025,18144,19016,22747,24698,25101,25296,42559"
56,Tôm,tôm thẻ loại to,shrimp,Tôm,high,,13,Phở khô xào hải sản | Tôm bỏ lò | Bánh Canh Cá Lóc,HAS_FIX,1 copy 41.json,"7980,14007,16841,20966,24926,25536,29097,29958,30648,32743,42287,42896,47489"
57,hành khô,hành tím,shallot,Hành tím,high,Hành khô là hành tím khô,13,Canh bí đao nấu cùng thịt xay | Củ cải trắng nấu đuôi heo | Gân bò sốt vang,HAS_FIX,1 copy 41.json,"10195,10992,11369,14026,14762,15051,16129,50474,52728,53508,56285,60359,60360"
58,giò heo,thịt heo,pork,Giò heo,high,,13,Canh bí đao nấu giò heo | Bún Riêu Cua Đồng Giò Heo | Miến giò heo,HAS_FIX,1 copy 41.json,"21021,21159,23033,23253,23453,24042,24710,28313,31256,31429,33569,44527,60823"
59,bột gà,Bột (chung),flour,Bột nêm gà,high,,13,Mì Đuôi Heo Hầm Ngũ Trân | Bún Riêu Cua Đồng Giò Heo | Trứng Chiên Dưa Leo Tôm Áp Chảo,HAS_FIX,1 copy 41.json,"21105,21168,21479,21836,22215,22222,22262,22418,22465,22687,32182,42362,60975"
60,Nước chấm,nước,water,Nước chấm,high,,13,"Mực Trứng Hấp Gừng | Cá Chim Trắng Biển Hấp Gừng Kèm Rau Củ | Tôm Càng Luộc,  Canh Mồng Tơi Nấu Bằng Nước Luộc Tôm",HAS_FIX,1 copy 41.json,"21203,28798,28810,29680,30453,34522,36593,37115,40074,40505,40622,44370,44682"
61,dầu hào chay,chay,vegetarian,Dầu hào chay,high,,13,Nộm rong sụn nấm đùi gà (món chay) | Đậu hũ non sốt nấm kim châm (món chay) | SP.0814 - Khổ Qua Xào Bò Chay,HAS_FIX,1 copy 41.json,"21684,23947,23961,25074,25379,31549,33494,35388,35940,37651,46465,63983,64113"
62,Hành tỏi băm,tỏi,garlic,Hành tỏi băm,high,,13,Cá hú kho thịt ba rọi và thơm | Mực Xào Nấm Rau Củ | Bò kho dùng với mì lá tươi,HAS_FIX,1 copy 41.json,"22329,24576,24825,24915,25037,25188,26718,26725,26799,28459,29986,47098,53555"
63,bột chiên xù,Bột (chung),flour,Bột chiên xù,high,,13,Nem bơ hải sản | Đậu hũ non chiên xù | Cá Basa chiên xù giòn rụm,HAS_FIX,1 copy 41.json,"22796,23907,24006,25080,30909,32065,36058,37644,38407,40576,46077,53591,64095"
64,xương heo,thịt heo,pork,Xương heo,high,,13,Xương heo hầm rau củ | Canh Laghim Nấu Xương Heo | Bún riêu tôm thịt,HAS_FIX,1 copy 41.json,"23446,27697,30631,36585,37724,38496,39117,39535,40174,41272,42452,44037,46404"
65,thịt xay,thịt vịt,duck,Thịt heo xay,high,,12,Nui sao nấu hẹ thịt băm | Canh cà chua thịt xay tép khô | Canh bắp cải thịt xay tép khô,HAS_FIX,1 copy 41.json,"8072,8136,8176,15601,15808,15812,18283,19878,20420,21118,60698,61444"
66,thịt gà,ức gà,chicken breast,Thịt gà,high,,12,Súp kem khoai tây 🥔 thịt gà rong biển | Súp kem thịt gà khoai sọ + sandwich 🍞 | Cháo thịt gà 🍗 nấm kim châm,HAS_FIX,1 copy 41.json,"12608,12822,13146,13296,13309,13332,13606,13612,14405,14851,19038,20832"
