rank,wrong_name,pattern_count,row_count,pct_of_total,cumulative_pct,example_raw_names,example_dishes
24,chay,6,28,0.87%,63.04%,dầu hào chay | Dầu hào chay | chay khô | Sa tế chay | hat nêm chay,Nộm rong sụn nấm đùi gà (món chay) | Đậu hũ non sốt nấm kim châm (món chay) | Bí Nụ Xào Nấm Hoàng Kim Chay
25,su su,12,27,0.84%,63.88%,su hào | củ su hào | Su hào | su hào lớn hoặc đu đủ xanh chưa chín | kim chi su hào hoặc kim chi cải thảo kim chi củ cải vv,Thịt HEO kho sệt | Món canh với các loại củ và thịt xay | Canh Củ Dền Su Hào Nấu Thịt Heo
26,gạo,12,26,0.81%,64.69%,giấm gạo | Bánh tráng gạo | mì gạo | Giấm gạo | thính gạo rang,Bún Riêu Cua Đồng Giò Heo | Cá Nục Nấu Ngót | Cuốn Bún Đậu Hủ Chấm Mắm Tôm
27,tôm viên,7,24,0.75%,65.43%,tôm biển | nõn tôm biển | tôm | tôm biển nõn | tôm biển hoang dã hoặc tôm gì cũng được,Tôm nõn rim mắm | Dưa gang trộn tôm bóc nõn | Mì Quảng Xào Tôm Thịt Eat Clean
28,dầu giấm,3,24,0.75%,66.18%,giấm | Giấm | giấm ăn,Cơm sốt tôm chua ngọt 칠리새우덮밥 | Salad thanh cua dưa leo lạnh | Lẩu đầu cá hồi nấu măng chua
29,ô liu,2,23,0.71%,66.89%,dầu olive | dầu Olive,Bí Đỏ Um Bò Bằm | Salad Thanh Cua Dâu Tây Sốt Sữa Chua Thì Là | Trứng Chiên Dưa Leo Tôm Áp Chảo
30,bắp ngọt,5,23,0.71%,67.61%,bắp non | Bắp non | ngô bao tử | bắp khô | Bắp bao tử,Sườn Heo Hầm Bắp Non | Cá dấm trắng chiên giòn sốt chua ngọt | Rau Củ Xào Ngũ Sắc
31,khoai môn,8,23,0.71%,68.32%,khoai sọ | củ khoai sọ | dưa môn | ngó môn | khoai môn,Súp kem khoai sọ thịt heo 🥓mộc nhĩ | Súp kem thịt gà khoai sọ + sandwich 🍞 | Canh cua rau rút khoai sọ
32,rau sống,17,22,0.68%,69.01%,rau củ hỗn hợp | Rau củ hỗn hợp | Rau củ | rau sắng | Rau củ hỗn hợp chén mắm,Nem bơ hải sản | SP.0796 - Súp Tóc Tiên Thịt Viên | Rau củ thuỷ tinh sốt thịt bằm
33,cà tím,20,22,0.68%,69.69%,cà rôt | cà ri dầu | cu cà rôt | cà ra to | cà ra,Mì Ý Spaghetti Xốt Nấm Chay | Bánh Mandu Hấp Nhân Tôm Thịt | Cà Ri Đùi Ếch Chôm Chôm
34,xương gà,10,21,0.65%,70.35%,gà | xương ống | Xương ống | Gà | Thịt gà lóc xương,Lẩu gà nấu nấm | Mì Quảng tôm gà trứng | Mì Chũ cá chiên giòn
35,nấm mèo,15,21,0.65%,71.00%,đầu hành | Nấm | Boaro | Cải mèo | ầu hành boaro,🌱 Canh Nấm Mỡ Đậu Hủ Lá É (Vegan) | Cá kho rau răm (vị hơi nhạt) | Rau Củ Luộc Chấm Nước Mắm Dằm Trứng Lòng Đào
36,nấm kim châm,8,20,0.62%,71.62%,nấm lộc nhung khô | nấm lộc nhung | Nấm lộc nhung khô | bông kim châm | tay nấm nhung hươu khô,Miến Xào Nấm Lộc Nhung Chay | NẤM lộc nhung xào bí nụ | Củ sen kho nấm lộc nhung (món chay)
37,táo,8,20,0.62%,72.24%,dấm táo | táo đỏ | táo tàu | Táo tàu | Giấm táo,Thịt Chiên Giòn Sốt Chua Ngọt Hàn Quốc (Tangsuyuk) | Salad Tôm Xào Tỏi Rau Quả Sốt Mù Tạt | Chè bắp nấm tuyết
38,thịt bò,17,19,0.59%,72.83%,phô mai con bò cười | thịt xay rang | vỏ bò bía | bò lát chay | Lá bò bía,"Soup nấm, bí đỏ, phô mai | Hàu Nướng Phô Mai Con Bò Cười | Mì trộn bò xào"
39,quế,8,18,0.56%,73.39%,húng quế | Húng quế | rau quế | nguyệt quế | húng quế khô Phụng dùng loại rắc,Gỏi Xoài Khô Cá Sặc | Gỏi Củ Cải Tôm Càng Nướng | Mì lá tươi nấu bò
40,hành tỏi,8,18,0.56%,73.95%,Gừng hành tỏi | hành khô | Hành phi | hành phi | Gừng hành khô tỏi,"Canh cá rô phi nấu nấm, cải xoong | Phi lê cá diêu hồng sốt cà chua | Canh củ nấu cá và rau cần"
41,thịt heo,6,17,0.53%,74.48%,tim heo | Xương heo | Tim heo | tiết heo | tim heo kg,Tim Heo Luộc Chấm Mắm Nêm | Tim Heo Xào Đậu Que Cà Rốt | Món rau cải nấu với xương heo
42,lá lốt,6,16,0.50%,74.98%,Rau ăn kèm | rau ăn kèm | rau ăn kèm các loại | Các loại rau ăn kèm | Phần rau ăn kèm,Mực Trứng Hấp Gừng | Bún cá nấu thơm (dứa) | Lẩu cá chay
43,đậu phộng,12,15,0.47%,75.44%,bơ đậu phộng | cá lạc | ngò rí trang trí | Vừng rang lạc rang | cá lạc phi lê,SP.0912 - Ba Rọi Heo Hồng Xíu | Bò Bía Chay | Cá lạc kho nghệ tươi
44,gia vị,7,14,0.44%,75.88%,Hành khô gia vị | sấu | Tỏi băm gia vị | Hành mùi gia vị | mì gói không lấy các gói gia vị,"Rau muống xào mướp, giá đỗ | Canh rau ngót nấu cá | Canh Sấu Nấu Mộc Và Thịt Bò"
45,húng láng,7,14,0.44%,76.31%,húng lủi | rau húng lủi | cây hung lui | Húng Lủi | Rau húng lủi,Salad Cá Trích Xông Khói | Rau Diếp Cuốn Phi Lê Bò Áp Chảo & Kim Chi Chấm Sốt Ssamjang Hàn Quốc | Gỏi Đu Đủ Xanh Tôm Thịt
46,thịt vịt,2,13,0.40%,76.72%,thịt xay | rau câu chân vịt khô,Nui sao nấu hẹ thịt băm | Canh cà chua thịt xay tép khô | Chè rau câu chân vịt
47,cá hồng,5,13,0.40%,77.12%,cá điêu hồng | cá điêu hồng kg | Gia vị chiên cá | cá điêu hồng khoảng khoanh | Cá điêu hồng,Cá điêu hồng kho bầu | Lẩu gà và cá điêu hồng chua ngọt...🍅🌶🌽 | Phi Lê Cá Điêu Hồng Chiên Giòn Chấm Mắm Ngò
48,dưa chua,3,12,0.37%,77.49%,dưa chuột | sấu | Dưa chuột,Nộm giò rau củ | Salad tôm bóc nõn - #healthy | Cá thu nấu dưa cải chua
49,bánh mì,3,12,0.37%,77.87%,mì | Mì | Mì Udon dẹp sợi bánh canh VN là ngon nhất ạ,"Mì gói xào rau muống tóp mỡ | Mì Ý sốt kem, thịt băm, củ dền | Mì ý sốt cà chua nhân thịt"
50,hành tây,6,12,0.37%,78.24%,hành khô | Hành tây hành lá rau răm | cần tây hành Tây | hành khô vài cái đầu hành | Hành khô,Canh măng mực | Mực xào su hào | Mì Quảng gà cá tôm
51,bò viên,2,12,0.37%,78.61%,Bò | bò,Bò Xào Cải Xoăn Kale | Xà Lách Trộn Thịt Bò | Lẩu cá diêu hồng
52,nấm đùi gà,4,11,0.34%,78.96%,đùi gà | má đùi gà | má đui ga | Oyster,Nấm ngọc tẩm xào thịt gà | Đu đủ kho thịt | NẤM nhồi thịt gà hấp
53,bột ngô,4,11,0.34%,79.30%,bôt ngot | ngô | Ngô | Bôt ngot,Chả giò hải sản | Tôm rim thịt | Sandwich nấm chay
54,súp,9,11,0.34%,79.64%,Súp lơ | Súp Lơ | Súp lơ lấy phần vừa ăn thui nha | súp lơ xanh | súp lơ,Cá hồi nướng sốt Teriyaki | Bánh mực cho bé | Rau Củ Quả Hầm Kem (Chay)
55,bánh,3,10,0.31%,79.95%,bánh canh | bia giúp bánh giòn hơn | Quét mặt bánh,Bánh canh cua thịt gà | Bánh canh cua giò heo | Bánh xèo nấm chay
56,đậu hũ trứng,5,10,0.31%,80.26%,đậu hũ trắng | tàu hũ trắng | ậu phụ trắng | đậu phụ chiên | ậu hũ trắng,Đậu hũ chiên nước mắm | Chả đậu hũ bắp nấm rong biển dọn tủ | Tôm hấp tàu hũ trắng sauce nước tương
57,bắp cải,6,10,0.31%,80.57%,sấu | Rau ăn kèm bắp chuối bào giá rau cải con rau húng lũi hoặc rau thơm xà lách | Rau ăn kèm cải con giá bắp chuối | Giá đỗ bắp cải tim luộc | Rau sống xà lách cải con húng lủi giá cây bắp chuối diếp cá lá hẹ quê,Cá mím nấu chua | Canh chua đầu cá hồng | Mì QUẢNG sườn-tôm
58,tương ớt,7,10,0.31%,80.88%,tương hột | tương hôt | hột tương | tương lạt | tương ăn phở,Cá Hú Kho Tương Hột Nấm Hương | Phi lê cá điêu hồng chưng tương | Đậu hủ kho tương
59,dầu bơ,5,10,0.31%,81.19%,Dầu thực vật | dầu thực vật | Dầu nên chọn dầu oliu | dầu thực vật để chiên | Dầu thực vật để chiên,Nui Xào Tôm Súp Lơ | Cua Lột Chiên Bột | Mì Bò Stroganoff - Beef Stroganoff Pasta
60,nước tương,6,10,0.31%,81.50%,tương đen | tương đậu | Nước sốt tương dầu hành | muông canh tương hôt | Tương đen,"Mì trộn rau củ | Sườn bò, bò viên hầm ăn với bánh mì | Thịt Luộc Bossam (보쌈) - Ẩm thực Hàn Quốc"
61,mỡ,7,10,0.31%,81.82%,Mỡ hành | mỡ hành | Xà lách mỡ | Xà lách mỡ Iceberg | bắp xà lách mỡ,Bánh tráng trộn cá viên chiên | Bánh tráng trộn thịt băm | Bánh Canh Bột Xắt Cá Lóc
62,bánh phở,6,9,0.28%,82.10%,bánh đa Quỳnh Côi | Bánh đa mì gạo phở khô | bánh đa | bánh đa đỏ | Bánh đa gạo lứt tuỳ ăn nhiều ít,"Bánh đa Quỳnh Côi xào giò, rau cần nước | Bánh đa cá rô | Bánh đa rau ngót chả rong biển"
63,Cá chày,8,9,0.28%,82.37%,bóng cá chay | Khô cá mặn chay không bắt buộc | cá diêu hồng chay gr | cá mặn chay nhỏ không bắt buộc | cá mối,Gỏi bóng cá chay trộn gỏi dưa leo siêu dễ làm | Bóng cá chay rim mè rang | Canh Rau Cải Cúc Nấu Đơn Giản
64,rau răm,8,9,0.28%,82.65%,Rau | t sừng rau răm | Hành lá rau răm thì là | Hành lá răm thì là | hành poro băm,"Ức gà áp chảo vị chanh cùng rau củ | Mì, hủ tiếu giò heo | Măng le kho nước tương rau răm"
65,mỳ hải sản,3,8,0.25%,82.90%,nấm hải sản | Nấm hải sản | mỳ ăn liền,Miến om hải sản | Bạch tuộc xào nấm | Mì (bún) gạo lứt hải sản chua cay
66,dưa,5,8,0.25%,83.15%,nươc côt dưa | lá dưa | trai dưa tươi | nươc dưa tươi hoăc nươc loc | nươc dưa tươi co thê thêm nươc dưa,"Bánh Trung Thu Rau Câu Nhân Flan | Xôi lá cẩm thịt xá xíu | Chè bắp,khoai môn,nấm tuyết và lá cẩm"
67,ớt xanh,4,8,0.25%,83.40%,ớt xanh đỏ | ớt xay | chả bì ớt xiêm xanh | ớt xắt,Cá Chim Hấp Nước Tương Kiểu Hongkong | Đậu hũ và tàu hũ ky cuộn rim sả ớt (món chay) | Bún BÒ xào Nam bộ
68,mật ong,7,8,0.25%,83.65%,lá mắc mật | Mật dừa nước | mật ong siro phong | khoai lang mật à Lạt | lá móc mật,Thịt nướng lá mắc mật | Heo Quay Da Giòn Lá Mắc Mật | SP.0995 - Bò Bía Mặn
69,râu bắp ngô,1,7,0.22%,83.87%,bắp ngô,Cơm Chiên Gà Rau Củ | Nem thịt dọn tủ
70,đậu trắng,2,7,0.22%,84.08%,đậu hủ trắng | ầu trắng hành boaro,"Bún Gạo Lứt Nước Lèo Cà Chua Nấm Hương Chay | Đậu Hủ Kho Thịt Băm, Nấm Hương Sốt Nước Tương | Đậu hũ và tàu hũ ky cuộn rim sả ớt (món chay)"
71,ba chỉ bò,3,7,0.22%,84.30%,ba chỉ | ba chỉ liền dải | ba chỉ chia miếng,Thịt ba chỉ nướng NCKD | Bento box 13: Bánh bao thịt kho Đài Loan | Thịt kho Đông Pha
72,Tôm muối,3,7,0.22%,84.52%,Mắm tôm | Mẻ mắm tôm | Mắm tôm pha,Đọt Su Su Luộc Chấm Mắm Tôm | Đậu hũ chiên chấm mắm tôm | Lẩu riêu cua lông/ cà ra
73,cá sòng,2,7,0.22%,84.74%,cá mó | Cá mó,Cá Mó Chiên Xả Tỏi Ớt | Cá mó chiên muối tôm (NCKD) | Cá Mó Chiên Sả
74,ức gà,3,7,0.22%,84.95%,thịt lợn | thịt sườn | thịt bò phần sườn,Heo kho tiêu | Thịt lợn rang dứa (trái thơm) | Thịt sườn kho nước dừa
75,bánh tráng,5,7,0.22%,85.17%,bánh đa | bánh đa nắm | Bánh phở tráng chảo từ phụ phẩm làm mì căn hoặc phở tươi phở khô | Nước trộn bánh tráng | lá rong biển vài bánh tráng,"Mì Quảng tôm trứng | Mì Quảng tôm cua nấu bằng mì Chũ | Bánh đa tôm, mọc, chả cá"
76,đậu xanh,6,7,0.22%,85.39%,giá đậu xanh | Bã đậu | bã đậu | Vỏ bánh đậu xanh cuốn chả giò Tìm mua dễ dàng tại các cửa hàng tạp hoá Giá giao động kbịch Mua bịch là đủ | miến đậu xanh bún tàu,Canh Chua Tôm Măng Trúc | Mì Cay Nongshim Nấm & Thịt Trai (Vẹm Đen) | Bánh tôm đậu nành
77,nấm hương,6,7,0.22%,85.61%,hành hương | nấm mỡ nấm đông cô | thịt bắp giò | nụ inh hương | mộc nhĩ tai nấm hương khô,🌱 Đậu Hủ Chiên Sốt Tương Dầu Hành Chay (Vegan) | Bánh xèo cá kình | Canh gà phi lê nấu cải bẹ và nấm mỡ
78,cà chua,7,7,0.22%,85.83%,Cà chua bi hành tây | tomato sauce | Xốt cà chua | Rau cải quả cà chua rau thì là hành ngò gai của tùng gia đình vài lát gừng | ồ chua củ cải cà rốt ngâm chua ngọt,Steak bò sốt phomai | Nui lứt xào bò và nấm kim châm | Nui sò xốt nấm cà chua
79,bánh chả,2,6,0.19%,86.01%,bánh canh | Bánh canh,"Bánh canh hẹ nấu cá | Bánh canh xào nấm đùi gà, cà chua, phô mai | Bánh Canh Cá Lóc"
80,nước cốt,2,6,0.19%,86.20%,Nước sốt | Nươc Loc,Cá dìa hấp mùng tơi | Nấm chiên chay | Giò Heo Tiềm Thuốc Bắc
81,hành tăm (củ nén),3,6,0.19%,86.38%,hành băm | hành ta | Hanh timơt,Cá dìa hấp mùng tơi | Thịt kho cơm dừa cho bé | Chả Cốm Trứng (Phiên Bản Không Thịt)
82,hành tỏi ớt,3,6,0.19%,86.57%,mắm tỏi ớt | Tỏi ớt | nước cốt hành tỏi xay,Gỏi Rau Má Tôm Đất | Gỏi Thịt Bò Hoa Chuối | Thịt heo xào húng Thái “Pad Krapow Moo” 🌿
83,mồng tơi,3,6,0.19%,86.76%,măng tươi | Măng tươi | t tươi,Thịt gà xào măng | Canh Giò Heo Nấu Măng | Lẩu nấm lá é
84,cam,3,6,0.19%,86.94%,cá cam | Cá cam | lát cam thảo,Cá cam kho tộ | Mì lá cuốn cá cam nướng | Canh chua cá cam
85,ngò gai,5,6,0.19%,87.13%,Rau ôm ngò gai | ngò già lấy cả gốc | mùi ta | Gia vi ngò | ngỗ ngò om,Canh bí đỏ thịt viên | Canh bí đỏ thịt xay gà xé | Cá Chim Hấp Nước Tương Kiểu Hongkong
86,bạc hà,5,6,0.19%,87.32%,lá húng quế bạc hà | Rau thơm như húng bạc hà húng Hà Nội rau mùi ta | Rau húng hà nội hoặc húng bạc hà | Rau thơm rau húng quế Vietnamese mint and basil | Rau thơm húng lủi mùi bạc hà,Phở khô trộn nấm đông cô (món chay) | Salad xoài rau xanh dầu dấm | Gỏi sứa xoài xanh rau húng
87,ram tôm,6,6,0.19%,87.50%,tôm trứng rang | mì tôm | tôm sắt bóc nõn rim mắm | Tôm thịt nạc rang | Sốt tôm rim,Rau tầm bóp nấu tôm trứng | Mì gói nấu tôm trứng | Mỳ trộn tôm thịt sốt cà
88,rau má,1,5,0.16%,87.66%,Rau ôm,Canh chua thịt bò đậu hũ | Mì lá tươi nấu bò
89,cá hú,1,5,0.16%,87.81%,cá,Canh rau ngót nấu cá | Cá hấp nấm
90,Tôm khô,2,5,0.16%,87.97%,tôm | vỏ tôm này tết mình làm tôm khô nên mình giữ lại vỏ tôm cho ngọt nước,Trứng chiên tép khô hải sản | Tôm Khô Sấy Nồi Chiên Không Dầu | Bánh canh ghẹ chả cá
91,bột ngò,2,5,0.16%,88.13%,ngò | Ngò,Món canh bí đỏ nấu tôm eatclean | Chả cá thác lác nhồi khổ qua | Dưa gang trộn tôm bóc nõn
92,chuối,2,5,0.16%,88.28%,bắp chuối bào | bông chuối,"Bún bò gân chả bì đơn giản | Gỏi hoa chuối tôm thịt | Salad bông chuối, cải mầm ngọt, và cá hồi"
93,bột gạo,3,5,0.16%,88.44%,Thính gạo | bột hồng cúc bột gạo men đỏ | thính gạo rang,Chạo nấm chay | Da heo luộc trộn thính | JAMBON thịt nguội
94,dầu vừng,3,5,0.16%,88.59%,vừng | xíu vừng | Bi đo nâu chin nghiên nhuyên tao mau vang,"Thịt chiên vừng | Thịt xay rim cà chua | Gỏi măng tây, thịt bò"
95,rau mè,2,5,0.16%,88.75%,mè | Mè,Salad thanh cua dưa leo lạnh | Thịt heo normandy và phô mai | Cơm nắm ruốc cá hồi
96,tép,3,5,0.16%,88.90%,mắm tép | tép tỏi | Mắm tép hoặc chai mắm nêm,Thịt chưng mắm tép | Mắm tép chưng thịt | Thịt bê xào lá lốt
97,hẹ,3,5,0.16%,89.06%,Hành phi | hành khô | hành poro băm nhỏ,Bún Nấm Cá Thác Lác Khổ Qua | Bánh Canh Gà Nấm Hẹ | Thịt heo nướng lá lốt cuốn kèm lá mơ lông
98,gừng,4,5,0.16%,89.21%,Lá gừng | gừng củ riềng củ hành khô | Gừng riềng | mứt gừng,Nấm Kho Lá Gừng Chay | Nấm Hấp Lá Gừng Chay | Cá trôi kho dưa
99,bún,5,5,0.16%,89.37%,bột rau câu agar | mì gạo | củ ngải bún | Bún hoặc phở | Xà lách gr,Rau câu nhãn | Mì gạo nấu thịt viên | Bún cá lóc hương vị Khmer
100,cà rốt,5,5,0.16%,89.52%,đậu que cà rốt | rau củ hỗn hợp ngô đậu hà lan cà rốt | Bắp mỹ cà rốt | Xà lách cà rốt bắp cải tím | khoai tây củ cà rốt,Đậu hũ hấp rau củ | Súp gà nấm | Soup tôm bong bóng cá
101,quả việt quất,1,4,0.12%,89.65%,quất,"Salad Thịt Bằm Trứng | Nộm thịt heo, giá đỗ, rau răm"
102,cá hường,1,4,0.12%,89.77%,ường cát,Đọt Su Su Luộc Chấm Mắm Tôm | Gỏi xơ mít trộn tôm và tai heo
103,lá gừng,2,4,0.12%,89.90%,lát gừng | mấy lát gừng,Cá thu chiên không tanh | Óc Heo Chiên Trứng | Canh Cá Dưa Chua Tứ Xuyên nhái Hảo La Má La
104,cá diêu hồng,2,4,0.12%,90.02%,cá hồng | Cá phèn hồng,Cá Hồng một nắng sốt chua ngọt | Bún cá hồng chấm | Cá phèn um muối ớt
105,hộp cá ngừ,2,4,0.12%,90.15%,Cá ngừ | hộp cá sốt cà,Cá ngừ đại dương áp chảo | Cơm chộn rong biển nhân cá ngừ | CÀ đắng om cá hộp
106,đậu nành,2,4,0.12%,90.27%,whipping | Cooking cream,"Rau câu nén vàng | Bánh trung thu rau câu | Mì Ý Xốt Kem Cheese với Bacon, Nấm Mối và Bông Cải Xanh"
107,rau om,3,4,0.12%,90.39%,Rau ngò | rau ngò | Rau thơm các loại nhất định phải có rau kinh giới và rau ngổ ngò,Súp Sò Điệp Bong Bóng Cá | Gỏi nấm tuyết | Miến Xào Nấm Lộc Nhung Chay
108,Trứng cua,3,4,0.12%,90.52%,gạch cua đồng | gạch cua | Màu gạch tôm,Sủi cảo xíu mại cua | Bún Riêu Cua Bắp Bò | Lẩu Riêu Cua Đồng Bắp Bò Ngày Quốc Khánh 2/9
109,thịt gà,3,4,0.12%,90.64%,Nước luộc gà | bột gà Chicken Powder | Hột gà,Gà nấu nấm và mì lá tươi | Eatclean / Cháo Yến Mạch Thịt Bằm Nấm + Trứng Lòng Đào | Mì Nấu Rau Muống Tóp Mỡ
110,bột tỏi,3,4,0.12%,90.77%,Bột | băm nhỏ Tỏi | t tươi,Bánh BÒ nướng chảo | Há Cảo Nhân Tôm Thịt | Cá Chim Hấp
111,sả,3,4,0.12%,90.89%,Riềng sả gừng bột nghệ | sả củ tỏi | ca chi vang va ca ngân,Cá song (mú) nấu kiểu chả cá Lã Vọng | Cá song nướng riềng mẻ | Khô bò ướt mềm ngon
112,rau muống,3,4,0.12%,91.02%,khoai | Khoai muống | rau nhút,"Cháo khoai lang cá hồi | Tôm Nướng Sa Tế, Ba Rọi Heo và Rau Củ Nướng | Canh khoai muống nấu nấm"
113,rau ngò rí,4,4,0.12%,91.14%,Hành lá ngò rí | rau ngò ôm | ngò ôm | ngò tây trang trí,Xíu Mại Trứng Cút Da Heo | Canh Chua Cá Đuối | Canh tôm bông so đũa
114,củ nghệ,4,4,0.12%,91.27%,củ gừng to | cá nục nướng than hoa Nghệ An con | Mì mình xài mì nghệ cọng to | mật mía Nghệ An,Thịt má heo kho nghệ rất ngon mà không ngấy | Cá nục Nghệ An nướng than hoa sốt cà chua Thanh Hoá | Mì Nghệ Xào Thịt Trai (Vẹm Đen)
115,salad,4,4,0.12%,91.39%,Xốt salad | Gia vị trộn salad | Nước sốt salad | lê hoặc táo hoa quả biến tấu theo sở thích ưu tiên chọn quả có vị không quá ngọt như vải nhãn mít sầu riêng Mình hay dùng lê táo nho và quả bơ cho các loại salad,"Salad cải kale rau mầm | 💚 Salad Nui Ống, Nấm, Cà Chua, Olive & Fêta Healthy (Vegetarian) | Salad bò cải mầm"
116,mướp,4,4,0.12%,91.51%,kg khổ hoa mướp đắng | Mướp đắng | mướp đắng to | mướp đắng,Lẩu chả cá thác lác khổ qua | Somtum Mực - Gỏi đu đủ mắm Thái + Mực | Đậu hũ xào mướp đắng
117,khoai mỡ,4,4,0.12%,91.64%,Khoai sọ gram khoảng củ nhỡ | củ khoai sọ sót lại | khoai tím | củ khoai sọ,Canh xương khoai sọ rau muống | Gân bò hầm khoai sọ | Khoai Tím Nấu Chả Mọc Tôm
118,nui,4,4,0.12%,91.76%,sốt cà pasta của | pasta hoặc mì trứng tuỳ ý | Mỳ lấy lượng vừa ăn | sốt xào nui mì,Mý Ý Thịt Viên Sốt Cà Chuẩn Từ Đầu Bếp Trưởng Vùng Sicily Ý | Mì Bò Stroganoff - Beef Stroganoff Pasta | Mỳ Ý Hải sản sốt cà chua
