pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
5,hành,hành lá,green onion,79,Thịt bắp giò (đùi heo) nấu giả cầy | Cá chim kho cà chua,SAME,Hành trong món giả cầy thường là hành lá,"6627,8288,8636,8653,8863,9844,10335,10359,10729,10933,10991,11225,12828,12920,13056,13720,13941,14095,14415,15035,15756,16187,16770,17435,17437,17513,19176,19303,19454,21991,22361,22567,26700,27213,28783,29007,30193,31146,31232,32175,32799,33218,33331,33452,33512,33799,33804,34446,34650,34656,35225,35317,35789,36012,36202,36405,36836,36941,37297,37433,38118,38381,38468,38687,39060,39248,39488,40098,41334,42191,42376,43095,45343,45826,46073,46157,46173,46394,48053"
230,bôt ngot,mỳ chính,MSG,4,Nụ hoa mướp xào thịt heo và nấm bào ngư | Thịt kho tiêu và đậu hủ,SAME,Bột ngọt và mì chính là hai tên gọi vùng miền,"16310,48959,49419,50689"
231,tỏi phi,tỏi,garlic,4,Mì gói trộn bò trứng | Giá hẹ xào tôm khô,SAME,Tỏi phi được làm từ tỏi,"17144,21311,30657,47790"
232,đậu cô ve,đậu que,green beans,4,Đậu hũ non sốt nấm đông cô | Đậu Cô Ve Xào Thịt Heo,SAME,Đậu cô ve và đậu que là một,"20148,26472,41628,64207"
237,bột ngô,Bột (chung),flour,4,Ớt chuông nhồi thịt sốt dầu hào | Viên đậu hũ xúc xích,SAME,Bột ngô thuộc nhóm bột chung,"22134,33750,35320,61197"
238,súp gà,súp,soup,4,Canh Rau Tầm Ma Gà Xé | Thịt Heo Hầm Đậu Trắng,SAME,Súp gà là một loại súp cụ thể,"22516,34070,38692,45094"
239,ớt chuông vàng,ớt,chili pepper,4,Mực Xào Thập Cẩm | Mực mai xào tam sắc,SAME,Ớt chuông thuộc họ ớt,"22695,22806,33060,38602"
241,móng giò,giò,pork sausage,4,"Canh rau tầm bóp nấu móng giò | Canh sườn, móng giò nấu khoai tây, nấm mỡ",SAME,Móng giò là một phần của giò heo,"22831,25283,25398,51239"
243,tép tỏi,tỏi,garlic,4,SP.0809 - Chén Thịt Hấp Trứng Gà | Bún Tàu Xào Tôm Khô & Rau Củ,SAME,Tép tỏi là đơn vị của củ tỏi,"24181,29529,34817,35551"
245,lá hoành thánh,lá,leaves,4,Hoành thánh gói thịt hấp chấm nước tương | Lá hoành thánh chiên kèm rau củ xào,SAME,Lá hoành thánh thuộc nhóm lá (vỏ bánh),"24706,24736,24835,44975"
253,húng quế,rau húng chó,mint,4,Súp Huyết Bò | Nấm đùi gà kho cà tím,SAME,Húng quế và húng chó là một,"27064,37811,47329,60972"
254,ớt chuông xanh đỏ vàng,ớt,chili pepper,4,Gan heo xào ớt chuông | Rau Xào Ngũ Sắc,SAME,Ớt chuông nhiều màu vẫn thuộc nhóm ớt,"27222,42486,50831,61127"
255,bánh đa đỏ,bánh,cake,4,Bánh đa cá diếc | Bánh đa xào thịt,SAME,Bánh đa đỏ thuộc nhóm bánh (sợi bánh),"27408,27418,27572,34130"
257,mì Chũ,mì,noodles,4,Mì Chũ cá chiên giòn | Mì Quảng tôm cua nấu bằng mì Chũ,SAME,Mì Chũ là một loại mì,"28050,28068,28078,28082"
